Location_ID,Distance_km,Priority
SAMPLE_0001,3.62,High
SAMPLE_0040,15.22,High
SAMPLE_0035,5.25,High
SAMPLE_0030,38.96,High
SAMPLE_0028,13.36,High
SAMPLE_0014,9.16,High
SAMPLE_0013,27.9,High
SAMPLE_0012,19.04,High
SAMPLE_0050,13.22,High
SAMPLE_0005,15.85,High
SAMPLE_0010,5.19,Medium
SAMPLE_0047,27.83,Medium
SAMPLE_0045,15.41,Medium
SAMPLE_0042,4.0,Medium
SAMPLE_0039,14.31,Medium
SAMPLE_0038,36.39,Medium
SAMPLE_0036,27.13,Medium
SAMPLE_0029,13.91,Medium
SAMPLE_0026,40.81,Medium
SAMPLE_0049,18.43,Medium
SAMPLE_0024,17.72,Medium
SAMPLE_0004,4.02,Medium
SAMPLE_0016,28.65,Medium
SAMPLE_0007,3.13,Medium
SAMPLE_0015,28.21,Medium
SAMPLE_0022,16.61,Medium
SAMPLE_0025,2.99,Medium
SAMPLE_0021,6.65,Medium
SAMPLE_0018,13.09,Low
SAMPLE_0048,8.94,Low
SAMPLE_0011,3.72,Low
SAMPLE_0046,16.1,Low
SAMPLE_0008,17.09,Low
SAMPLE_0044,4.99,Low
SAMPLE_0043,42.02,Low
SAMPLE_0041,7.58,Low
SAMPLE_0002,1.41,Low
SAMPLE_0027,15.62,Low
SAMPLE_0006,49.08,Low
SAMPLE_0037,15.46,Low
SAMPLE_0019,34.9,Low
SAMPLE_0003,10.12,Low
SAMPLE_0034,7.21,Low
SAMPLE_0033,22.75,Low
SAMPLE_0032,6.72,Low
SAMPLE_0031,3.39,Low
SAMPLE_0009,45.95,Low
SAMPLE_0017,4.66,Low
SAMPLE_0020,29.25,Low
SAMPLE_0023,11.38,Low
