Agent_ID,Location_ID,Distance_km,Priority
1,SAMPLE_0030,38.96,High
1,SAMPLE_0050,13.22,High
1,SAMPLE_0001,3.62,High
1,SAMPLE_0016,28.65,Medium
1,SAMPLE_0015,28.21,Medium
1,SAMPLE_0049,18.43,Medium
1,SAMPLE_0045,15.41,Medium
1,SAMPLE_0021,6.65,Medium
1,SAMPLE_0042,4.0,Medium
1,SAMPLE_0006,49.08,Low
1,SAMPLE_0033,22.75,Low
1,SAMPLE_0008,17.09,Low
1,SAMPLE_0037,15.46,Low
1,SAMPLE_0003,10.12,Low
1,SAMPLE_0044,4.99,Low
1,SAMPLE_0017,4.66,Low
2,SAMPLE_0014,9.16,High
2,SAMPLE_0047,27.83,Medium
2,SAMPLE_0039,14.31,Medium
2,SAMPLE_0026,40.81,Medium
2,SAMPLE_0036,27.13,Medium
2,SAMPLE_0022,16.61,Medium
2,SAMPLE_0029,13.91,Medium
2,SAMPLE_0004,4.02,Medium
2,SAMPLE_0007,3.13,Medium
2,SAMPLE_0009,45.95,Low
2,SAMPLE_0020,29.25,Low
2,SAMPLE_0046,16.1,Low
2,SAMPLE_0018,13.09,Low
2,SAMPLE_0041,7.58,Low
2,SAMPLE_0034,7.21,Low
2,SAMPLE_0011,3.72,Low
2,SAMPLE_0002,1.41,Low
3,SAMPLE_0012,19.04,High
3,SAMPLE_0005,15.85,High
3,SAMPLE_0028,13.36,High
3,SAMPLE_0035,5.25,High
3,SAMPLE_0013,27.9,High
3,SAMPLE_0040,15.22,High
3,SAMPLE_0038,36.39,Medium
3,SAMPLE_0024,17.72,Medium
3,SAMPLE_0010,5.19,Medium
3,SAMPLE_0025,2.99,Medium
3,SAMPLE_0043,42.02,Low
3,SAMPLE_0019,34.9,Low
3,SAMPLE_0027,15.62,Low
3,SAMPLE_0023,11.38,Low
3,SAMPLE_0048,8.94,Low
3,SAMPLE_0032,6.72,Low
3,SAMPLE_0031,3.39,Low
